,predict,condition_name
0,-0.0868862590958297,2) LL add-on at £1
1,-0.382053927139198,2) LL add-on at £1
2,-0.07368749444363934,2) LL add-on at £1
3,-0.23436569453667086,2) LL add-on at £1
4,-0.11169064201813363,2) LL add-on at £1
5,-0.05753532848675688,2) LL add-on at £1
6,-0.07450839578918836,2) LL add-on at £1
7,-0.18541742466424999,2) LL add-on at £1
8,-0.06155391017733169,2) LL add-on at £1
9,-0.19018086625151803,2) LL add-on at £1
10,-0.17246728825669919,2) LL add-on at £1
11,-0.00409472809894833,2) LL add-on at £1
12,-0.05031112544952773,2) LL add-on at £1
13,-0.12876761851831597,2) LL add-on at £1
14,-0.24632007332968325,2) LL add-on at £1
15,-0.09027410687379515,2) LL add-on at £1
16,-0.07102345180926285,2) LL add-on at £1
17,-0.0992541842996462,2) LL add-on at £1
18,-0.07887453527488422,2) LL add-on at £1
19,-0.2502454084132004,2) LL add-on at £1
20,-0.1576108850405341,2) LL add-on at £1
21,-0.10052196466334314,2) LL add-on at £1
22,-0.12490849831114538,2) LL add-on at £1
23,-0.2131392407537992,2) LL add-on at £1
24,-0.2457842344532891,2) LL add-on at £1
25,-0.08178358794450183,2) LL add-on at £1
26,-0.0740790904526054,2) LL add-on at £1
27,-0.18664417573543982,2) LL add-on at £1
28,-0.08181161220198188,2) LL add-on at £1
29,-0.2019797423314966,2) LL add-on at £1
30,-0.15056884099194667,2) LL add-on at £1
31,-0.17016776141185366,2) LL add-on at £1
32,-0.13959948527607427,2) LL add-on at £1
33,0.02454454338554501,2) LL add-on at £1
34,-0.2531921191023488,2) LL add-on at £1
35,-0.20723059868002144,2) LL add-on at £1
36,-0.0481104659248656,2) LL add-on at £1
37,-0.11770115681917116,2) LL add-on at £1
38,-0.11495495121568286,2) LL add-on at £1
39,0.00599157213537528,2) LL add-on at £1
40,-0.10837081785314251,2) LL add-on at £1
41,-0.24965244546007517,2) LL add-on at £1
42,-0.2813813965963997,2) LL add-on at £1
43,-0.2833123492315296,2) LL add-on at £1
44,-0.1692742505712693,2) LL add-on at £1
45,-0.15786207463514904,2) LL add-on at £1
46,-0.15123657023997733,2) LL add-on at £1
47,-0.12772870429269922,2) LL add-on at £1
48,-0.11982205394978042,2) LL add-on at £1
49,-0.16336214225394732,2) LL add-on at £1
50,-0.12546175520186303,2) LL add-on at £1
51,-0.1374057756620931,2) LL add-on at £1
